Trial,NL-Egg,NL-Misgrasp,NL-Drop,NL-Crush,CL-Egg,CL-Misgrasp,CL-Drop,CL-Crush
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
