,ID,Session,Cups,Pegs,Pens,Feedback
0,021,1,3.549192364170338,4.837887067395264,5.209887250650477,True
1,021,4,2.6639344262295084,4.585714285714286,3.769571639586411,True
2,021,8,2.477227722772277,3.591549295774648,2.2954911433172303,True
3,021,9,3.407342657342657,4.479020979020979,2.0728813559322035,True
4,022,1,3.3255208333333335,4.326530612244897,1.823204419889503,False
5,022,4,3.219444444444444,11.041666666666666,4.933734939759036,False
6,022,8,2.919881305637982,2.9342403628117912,1.240549828178694,False
7,022,9,4.6000000000000005,3.071090047393365,1.5358288770053476,False
8,023,1,4.702764976958526,7.494708994708994,3.710144927536232,True
9,023,4,6.068852459016394,6.614117647058824,2.8078291814946623,True
10,023,8,3.5773955773955772,4.628260869565217,2.800477897252091,True
11,023,9,4.465753424657534,5.030848329048843,2.352439024390244,True
12,024,1,4.258373205741627,11.596958174904943,4.248709526044111,False
13,024,4,3.9358974358974357,2.074209245742092,1.822274881516588,False
14,024,8,2.8696883852691224,3.5000000000000004,1.8093415007656966,False
15,025,1,8.569051580698835,3.2606438213914846,3.049141503848431,False
16,025,4,3.948571428571429,6.9319371727748695,2.890314304041052,False
17,025,8,3.4526967285587973,6.316666666666666,3.5438485804416406,False
18,025,9,2.0884016973125883,6.018735362997658,3.4575018477457506,False
19,026,1,11.543524416135881,7.743538767395626,5.8903394255874675,True
20,026,8,3.918831168831169,3.789115646258504,2.3197278911564627,True
21,029,1,3.2645914396887163,3.7835926449787833,1.4458380843785634,False
22,029,4,6.992509363295881,4.363207547169811,1.3315939278937383,False
23,029,8,1.9026915113871634,4.575,1.409318637274549,False
24,029,9,2.1789473684210527,4.4423076923076925,1.46890756302521,False
25,030,1,3.2872928176795586,6.7558139534883725,1.7764976958525345,True
26,030,4,1.8297872340425534,2.7520391517128875,1.47696038803557,True
27,030,8,2.873853211009174,3.1096408317580337,1.1503579952267304,True
28,030,9,2.3753213367609254,3.022108843537415,1.1780415430267062,True
29,031,1,4.056105610561056,4.657657657657658,3.847911227154047,True
30,031,4,3.530141843971631,4.81151832460733,2.0834492350486786,True
31,031,8,3.686832740213523,4.3545454545454545,1.9546089385474859,True
32,031,9,2.9948979591836737,3.3399122807017547,1.8900437636761485,True
33,032,1,3.923529411764706,9.51388888888889,9.978723404255318,True
34,032,4,3.738839285714285,4.862190812720848,4.256852791878173,True
35,032,8,3.8164383561643835,3.1308900523560212,3.3035066505441355,True
36,032,9,5.288690476190476,8.00257731958763,4.408088235294118,True
