load,var,mm_sig,mm_session,mm_feedback,mm_interaction,spher,spher_p,norm_res
CL COMB,P_l,SESSION ONLY,"F(7,56) = 3.59,\ p=0.003","F(1,8) = 0.047,\ p=0.834","F(7,56) = 0.953,\ p=0.474",PASS,0.678907703,Perfectly normal
CL COMB,P_h,SESSION ONLY,"F(7,56) = 4.925,\ p=0.0","F(1,8) = 0.459,\ p=0.517","F(7,56) = 0.665,\ p=0.701",PASS,0.520930387,Highly normal
CL COMB,G,SESSION ONLY,"F(7,56) = 4.648,\ p=0.0","F(1,8) = 0.305,\ p=0.596","F(7,56) = 0.596,\ p=0.756",PASS,0.899810695,Normal
CL COMB,G_l,SESSION ONLY,"F(7,56) = 1.939,\ p=0.08","F(1,8) = 0.53,\ p=0.487","F(7,56) = 1.066,\ p=0.397",PASS,0.565900907,Highly normal
CL COMB,G_h,SESSION ONLY,"F(7,56) = 3.062,\ p=0.008","F(1,8) = 0.562,\ p=0.475","F(7,56) = 0.27,\ p=0.963",PASS,1,Normal
CL COMB,T,SESSION ONLY,"F(7,56) = 4.941,\ p=0.0","F(1,8) = 0.4,\ p=0.545","F(7,56) = 0.769,\ p=0.616",PASS,1,Highly normal
CL COMB,T_l,SESSION ONLY,"F(7,56) = 2.987,\ p=0.01","F(1,8) = 0.075,\ p=0.791","F(7,56) = 0.315,\ p=0.944",PASS,0.649184133,Highly normal
CL COMB,T_h,SESSION ONLY,"F(7,56) = 3.93,\ p=0.001","F(1,8) = 1.046,\ p=0.336","F(7,56) = 1.068,\ p=0.396",PASS,1,Highly normal
CL COMB,F,SESSION ONLY,"F(7,56) = 6.082,\ p=0.0","F(1,8) = 0.518,\ p=0.492","F(7,56) = 0.317,\ p=0.943",PASS,0.166719855,Perfectly normal
CL COMB,F_l,SESSION ONLY,"F(7,56) = 2.192,\ p=0.049","F(1,8) = 2.287,\ p=0.169","F(7,56) = 0.569,\ p=0.778",PASS,0.579240422,Perfectly normal
CL COMB,F_h,SESSION ONLY,"F(7,56) = 7.966,\ p=0.0","F(1,8) = 0.118,\ p=0.74","F(7,56) = 0.199,\ p=0.984",PASS,0.770154304,Highly normal
CL COMB,grasps,SESSION ONLY,"F(7,56) = 3.772,\ p=0.002","F(1,8) = 0.033,\ p=0.86","F(7,56) = 1.116,\ p=0.366",PASS,0.327758492,Perfectly normal
CL COMB,crushes,NONE,"F(7,56) = 1.933,\ p=0.081","F(1,8) = 1.271,\ p=0.292","F(7,56) = 1.486,\ p=0.191",FAIL,1.04E-06,Normal
CL COMB,drops,NONE,"F(7,56) = 1.011,\ p=0.434","F(1,8) = 0.016,\ p=0.903","F(7,56) = 0.666,\ p=0.7",FAIL,2.66E-05,FALSE
